,DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,Sum
0,66.5,40,39.0,40.0,53.75,1.0,,,,,0.307889917236456
1,66.5,40,39.0,40.0,53.75,1.0,6.14,4.0,,,0.31609440142035417
2,66.5,40,39.0,58.0,14.2,7.3,,,,,0.29525778578391026
3,66.5,40,39.0,17.0,62.2,10.0,,,,,0.31609440142035417
4,66.5,40,39.0,17.0,62.2,35.0,20.86,1.0,,,0.33568060643205666
5,66.5,40,39.0,17.0,62.2,14.0,14.55,6.0,,,0.3274697209879019
6,66.5,40,39.0,17.0,62.2,14.0,14.55,7.0,,,0.20390245060673312
7,66.5,40,39.0,17.0,62.2,-6.5,13.33,2.0,,,0.31357437639010155
8,66.5,40,39.0,17.0,62.2,-6.5,13.33,6.0,,,0.3053634909459469
9,66.5,40,39.0,17.0,62.2,14.0,,,,,0.0
10,66.5,40,39.0,17.0,62.2,22.0,,,,,0.3192588355437472
11,66.5,40,39.0,17.0,62.2,6.0,14.21,8.0,,,0.10907359658063541
12,66.5,40,39.0,17.0,62.2,23.0,,,,,0.39054554337274916
13,66.5,40,39.0,17.0,62.2,10.0,36.6,3.0,13.92,9.0,0.30906829550382914
14,66.5,40,39.0,17.0,62.2,10.0,36.6,3.0,13.92,4.0,0.37109206093582875
15,66.5,40,39.0,17.0,62.2,-10.0,,,,,0.3585862507978085
16,66.5,40,39.0,17.0,62.2,-15.0,,,,,0.260687232040579
17,66.5,40,39.0,17.0,62.2,23.0,26.0,4.0,,,0.3236800815521382
18,66.5,40,39.0,17.0,62.2,23.0,26.0,23.0,14.24,3.5,0.3412137194959054
19,66.5,40,39.0,17.0,62.2,23.0,26.0,0.0,16.06,42.0,0.3476811313119751
20,66.5,40,39.0,17.0,62.2,23.0,26.0,0.0,16.06,42.0,0.32494329469739275
21,66.5,40,39.0,0.0,,,,,,,0.3072583106638287
22,66.5,40,39.0,59.0,,,,,,,0.3211536552616291
23,66.5,40,39.0,13.0,,,,,,,0.31609440142035417
24,66.5,40,39.0,0.0,13.02,1.0,13.62,19.0,,,0.24495687782750686
25,66.5,40,39.0,8.0,13.02,0.0,,,,,0.39294564834873286
26,66.5,40,39.0,32.0,60.0,36.0,43.0,23.0,,,0.32683811441527466
27,66.5,40,39.0,9.0,54.07,28.5,,,,,0.31609440142035417
28,66.5,40,39.0,32.0,60.0,36.0,43.0,12.0,,,0.33568060643205666
29,66.5,40,39.0,32.0,60.0,8.0,51.0,27.0,,,0.5425698948494846
30,66.5,40,39.0,32.0,60.0,-3.0,,,,,0.3374905912720571
31,66.5,40,39.0,32.0,60.0,3.0,51.0,40.0,,,0.4267332494296402
32,66.5,40,90.0,54.0,12.94,12.0,,,,,0.3059950975185741
33,66.5,40,90.0,54.0,12.94,3.0,,,,,0.2979520198255889
34,66.5,40,90.0,29.0,9.77,30.0,,,,,0.3097847369543379
35,66.5,40,90.0,34.0,20.0,16.0,,,,,0.30060476743062353
36,66.5,40,90.0,34.0,40.0,13.0,,,,,0.2759721110981593
37,66.5,40,90.0,34.0,40.0,10.0,13.44,29.0,,,0.3281013275605292
38,66.5,40,90.0,34.0,40.0,10.0,13.44,13.0,,,0.31609440142035417
39,66.5,40,90.0,34.0,40.0,56.0,12.72,1.0,,,0.31609440142035417
40,66.5,40,90.0,34.0,40.0,3.0,,,,,0.5291798355097861
41,66.5,40,90.0,40.0,76.0,43.0,8.62,15.0,,,0.32826913531169866
42,66.5,40,90.0,110.0,14.86,3.0,,,,,0.32683811441527466
43,66.5,40,90.0,110.0,14.86,14.5,,,,,0.31609440142035417
44,66.5,40,90.0,22.0,22.87,41.0,,,,,0.4615381221360563
45,66.5,40,90.0,-17.0,18.98,6.0,,,,,0.31609440142035417
46,66.5,40,31.5,56.0,35.82,59.0,,,,,0.31799562239849266
47,66.5,40,31.5,56.0,35.82,3.0,,,,,0.3085215238090833
48,66.5,40,31.5,56.0,35.82,2.0,19.12,8.0,,,0.31609440142035417
49,66.5,40,31.5,56.0,35.82,2.0,19.12,6.5,,,0.31609440142035417
50,66.5,40,31.5,56.0,35.82,2.0,19.12,16.0,,,0.2687717961702082
51,66.5,40,31.5,56.0,35.82,0.0,19.47,24.0,,,0.3623758902335722
52,66.5,40,31.5,56.0,35.82,0.0,19.47,2.0,,,0.3786713398073562
53,66.5,40,31.5,56.0,48.52,44.0,,,,,0.2779932521305666
54,66.5,40,31.5,56.0,48.52,12.5,,,,,0.33252257356892023
55,66.5,40,31.5,56.0,48.52,20.0,8.98,8.0,,,0.3129427698174743
56,66.5,40,31.5,56.0,48.52,29.5,,,,,0.31231116324484703
57,66.5,40,31.5,56.0,48.52,23.0,,,,,0.33521680761059885
58,66.5,40,31.5,56.0,48.52,4.0,,,,,0.3357220928687007
59,66.5,40,31.5,56.0,48.52,46.5,13.3,2.5,,,0.39019682354494384
60,66.5,40,31.5,34.0,13.69,6.5,,,,,0.31609440142035417
61,66.5,40,31.5,34.0,13.69,3.0,,,,,0.31609440142035417
62,66.5,40,31.5,35.5,,,,,,,0.31942664329491666
63,66.5,40,31.5,28.0,37.13,3.5,,,,,0.31609440142035417
64,66.5,40,31.5,13.0,54.43,94.0,,,,,0.31609440142035417
65,66.5,40,31.5,13.0,54.43,7.0,31.15,17.0,,,0.4613452896096155
66,66.5,40,31.5,13.0,54.43,7.0,29.13,4.0,,,0.418143400041909
67,66.5,40,31.5,13.0,54.43,-47.0,,,,,0.5246322681868697
68,66.5,40,31.5,30.0,52.92,28.5,28.16,3.0,,,0.31609440142035417
69,66.5,40,31.5,30.0,52.92,28.5,28.16,0.0,,,0.558777476291264
70,66.5,40,31.5,30.0,52.92,16.0,26.64,3.0,,,0.3956582060563776
71,66.5,40,31.5,30.0,52.92,16.0,26.64,0.0,,,0.40576391121841415
72,66.5,40,31.5,30.0,52.92,14.0,15.99,36.0,,,0.337743233901108
73,66.5,40,31.5,30.0,52.92,-16.0,,,,,0.36389174600787766
74,66.5,40,29.5,24.0,,,,,,,0.324226853246884
75,66.5,40,29.5,23.0,,,,,,,0.3072583106638287
76,66.5,40,29.5,56.0,15.49,5.0,,,,,0.2639050750063254
77,66.5,40,29.5,-46.5,11.89,4.0,,,,,0.31609440142035417
78,66.5,40,29.5,-46.5,11.89,4.5,9.36,14.0,,,0.2975730558820125
79,66.5,40,29.5,-14.5,,,,,,,0.31609440142035417
80,66.5,40,29.5,32.0,16.3,11.0,,,,,0.1754801548385052
81,66.5,40,29.5,32.0,16.3,6.0,,,,,0.3072583106638287
82,66.5,40,29.5,32.0,16.3,2.0,,,,,0.30473188437331955
83,66.5,40,29.5,30.0,14.84,12.65,,,,,0.40778505225082146
84,66.5,40,29.5,65.0,,,,,,,0.3148375895353562
85,66.5,40,29.5,13.5,10.5,9.5,,,,,0.3186272289711199
86,66.5,40,29.5,12.0,,,,,,,0.318416072778713
87,66.5,40,29.5,23.5,,,,,,,0.5363801504377371
88,66.5,40,29.5,5.5,30.88,38.0,,,,,0.5749081513680018
89,66.5,40,29.5,9.0,,,,,,,0.31609440142035417
90,66.5,40,29.5,-45.0,66.38,31.0,59.17,10.0,,,0.31546919610798346
91,66.5,40,29.5,-45.0,66.38,31.0,59.17,8.5,19.16,13.0,0.3312593604236656
92,66.5,40,29.5,-45.0,66.38,31.0,59.17,8.5,19.16,9.0,0.4869885164582832
93,66.5,40,29.5,-45.0,66.38,31.0,59.17,8.5,19.16,19.0,0.40260587835527767
94,66.5,40,29.5,-45.0,66.38,30.5,43.03,10.0,24.29,6.5,0.31609440142035417
95,66.5,40,29.5,-45.0,66.38,0.0,44.93,9.5,,,0.5221058418963604
96,66.5,40,29.5,-45.0,66.38,0.0,44.93,3.0,18.94,20.5,0.5543177771003521
97,64.5,34,33.0,62.0,,,,,,,0.43239813219099665
98,64.5,34,33.0,46.0,,,,,,,0.44503026364354237
99,64.5,34,33.0,66.0,,,,,,,0.40774045108326096
100,64.5,34,33.0,8.5,,,,,,,0.535324978753973
101,64.5,34,33.0,0.0,,,,,,,0.8854904310600423
102,64.5,34,33.0,0.0,66.0,35.0,,,,,0.4358513871630162
103,64.5,34,33.0,0.0,66.0,0.0,10.0,5.0,,,0.4425038373530331
104,64.5,34,33.0,0.0,66.0,46.0,46.0,4.0,,,0.4493666747740519
105,64.5,34,33.0,0.0,66.0,46.0,46.0,0.0,,,0.791633251155445
106,64.5,34,33.0,0.0,66.0,8.0,34.0,20.0,,,0.44629347678879694
107,64.5,34,33.0,0.0,66.0,8.0,34.0,14.0,,,0.45008311622456065
108,64.5,34,33.0,0.0,66.0,8.0,34.0,3.0,,,0.537159988369245
109,64.5,34,33.0,0.0,66.0,8.0,34.0,7.0,13.0,6.0,0.43345018914384426
110,64.5,34,33.0,0.0,66.0,8.0,34.0,3.0,12.0,7.0,0.4469250833614242
111,64.5,34,32.5,66.0,55.5,25.0,,,,,0.44566187021616954
112,64.5,34,32.5,66.0,55.5,15.0,,,,,0.5771373338618995
113,64.5,34,32.5,66.0,55.5,0.0,,,,,0.4571985962746302
114,64.5,34,32.5,66.0,55.5,26.0,,,,,0.4038244903329718
115,64.5,34,32.5,66.0,55.5,-36.0,11.0,2.0,,,0.44060901763515126
116,64.5,34,32.5,66.0,55.5,46.0,,,,,0.4900421380512491
117,64.5,34,32.5,66.0,55.5,0.0,35.0,36.0,,,0.5916250020212939
118,64.5,34,32.5,66.0,55.5,0.0,35.0,36.0,17.0,77.0,0.46894647852549776
119,64.5,34,32.5,66.0,55.5,17.0,,,,,0.2843245267918891
120,64.5,34,32.5,66.0,55.5,0.0,,,,,0.3811531649303049
121,64.5,34,32.5,66.0,55.5,21.0,,,,,0.6186480463055475
122,64.5,34,32.5,66.0,55.5,17.0,24.0,7.5,,,0.5588203283414519
